"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2020","54.00","51.00","54.50","50.90","2.62M","7.14%"
"05/31/2020","50.40","52.00","52.00","50.00","573.19K","2.75%"
"05/21/2020","49.05","49.30","50.00","49.05","931.59K","-0.51%"
"05/20/2020","49.30","49.60","49.70","49.00","601.38K","-0.60%"
"05/19/2020","49.60","48.50","49.65","48.40","735.27K","2.27%"
"05/18/2020","48.50","48.75","49.00","48.30","494.15K","1.04%"
"05/17/2020","48.00","46.15","48.10","46.15","861.64K","4.12%"
"05/14/2020","46.10","46.10","46.10","45.65","295.77K","0.00%"
"05/13/2020","46.10","46.30","46.80","46.00","388.53K","-0.97%"
"05/12/2020","46.55","46.35","46.85","46.25","349.70K","0.43%"
"05/11/2020","46.35","42.10","46.55","42.10","878.15K","0.11%"
"05/10/2020","46.30","46.70","46.70","46.15","281.31K","0.22%"
"05/07/2020","46.20","46.50","46.90","45.85","616.29K","-0.22%"
"05/06/2020","46.30","46.80","47.25","46.30","647.57K","-0.64%"
"05/05/2020","46.60","46.80","47.40","46.60","857.35K","-0.21%"
"05/04/2020","46.70","46.50","47.10","46.40","596.80K","0.43%"
"05/03/2020","46.50","47.70","47.70","45.80","463.73K","-5.30%"
"04/30/2020","49.10","48.80","49.25","48.55","601.54K","0.72%"
"04/29/2020","48.75","48.55","48.95","48.40","476.34K","0.62%"
"04/28/2020","48.45","48.85","49.00","48.15","375.73K","-0.21%"
"04/27/2020","48.55","48.90","49.85","48.55","816.70K","-0.31%"
"04/26/2020","48.70","48.50","48.90","48.20","334.51K","1.25%"
"04/23/2020","48.10","48.30","48.50","47.95","1.87M","-0.21%"
"04/22/2020","48.20","47.25","48.25","47.25","392.07K","1.26%"
"04/21/2020","47.60","47.20","48.05","47.15","592.37K","-1.45%"
"04/20/2020","48.30","47.90","48.60","47.85","531.56K","0.52%"
"04/19/2020","48.05","47.90","48.40","47.25","316.36K","0.95%"
"04/16/2020","47.60","48.60","48.60","47.60","418.47K","-2.06%"
"04/15/2020","48.60","48.20","48.80","47.95","644.06K","1.46%"
"04/14/2020","47.90","47.30","47.90","47.00","612.18K","1.38%"
"04/13/2020","47.25","48.15","48.15","47.00","612.05K","-1.56%"
"04/12/2020","48.00","49.20","49.20","47.95","473.20K","-2.44%"
"04/09/2020","49.20","50.10","50.40","48.75","997.61K","-1.80%"
"04/08/2020","50.10","49.60","50.30","49.10","1.32M","1.21%"
"04/07/2020","49.50","49.35","49.80","48.85","928.84K","0.20%"
"04/06/2020","49.40","48.55","49.40","47.50","955.09K","1.75%"
"04/05/2020","48.55","48.00","48.60","47.50","897.95K","2.43%"
"04/02/2020","47.40","47.00","47.50","46.65","539.19K","1.83%"
"04/01/2020","46.55","47.00","47.70","46.55","479.58K","-0.96%"
"03/31/2020","47.00","45.75","48.75","45.75","964.77K","2.73%"
"03/30/2020","45.75","45.20","45.95","45.05","579.99K","1.22%"
